                         0	ACT 0 0 0
                        12	ACT 0 1 0
                        24	ACT 0 2 0
                        36	ACT 0 3 0
                        44	ACT 1 0 0
                        48	RD  0 0 0
                        56	ACT 1 1 0
                        64	RD  0 1 0
                        68	ACT 1 2 0
                        76	ACT 2 0 0
                        80	RD  0 2 0
                        84	ACT 1 3 0
                        92	ACT 2 1 0
                        96	RD  0 3 0
                       100	ACT 3 0 0
                       104	RD  1 0 0
                       108	ACT 2 2 0
                       116	ACT 3 1 0
                       120	RD  1 1 0
                       124	ACT 2 3 0
                       128	RD  2 0 0
                       132	ACT 3 2 0
                       136	RD  1 2 0
                       144	RD  2 1 0
                       146	ACT 3 3 0
                       152	RD  1 3 0
                       160	RD  2 2 0
                       168	RD  3 0 0
                       176	RD  2 3 0
                       184	RD  3 1 0
                       200	RD  3 2 0
                       216	RD  3 3 0
