                         0	ACT 0 0 1
                        48	RD  0 0 8
                      1000	ACT 1 0 2
                      1048	RD  1 0 11
                      2000	ACT 2 0 3
                      2048	RD  2 0 1A
                      3000	ACT 3 0 4
                      3048	RD  3 0 23
                      4000	ACT 0 1 5
                      4048	RD  0 1 2C
                      5000	ACT 1 1 6
                      5048	RD  1 1 35
                      6000	ACT 2 1 7
                      6048	RD  2 1 3E
                      7000	ACT 3 1 8
                      7048	RD  3 1 47
                      8000	ACT 0 2 9
                      8048	RD  0 2 48
                      9000	ACT 1 2 A
                      9048	RD  1 2 51
                     10000	ACT 2 2 B
                     10048	RD  2 2 5A
                     11000	ACT 3 2 C
                     11048	RD  3 2 63
                     12000	ACT 0 3 D
                     12048	RD  0 3 6C
                     13000	ACT 1 3 E
                     13048	RD  1 3 75
                     14000	ACT 2 3 F
                     14048	RD  2 3 7E
                     15000	ACT 3 3 10
                     15048	RD  3 3 87
                     16000	RD  0 0 80
                     17000	RD  1 0 78
                     18000	RD  2 0 70
                     19000	RD  3 0 68
                     20000	RD  0 1 60
                     21000	RD  1 1 58
                     22000	RD  2 1 50
                     23000	RD  3 1 48
                     24000	RD  0 2 40
                     25000	RD  1 2 38
                     26000	RD  2 2 30
                     27000	RD  3 2 28
                     28000	RD  0 3 20
                     29000	RD  1 3 18
                     30000	RD  2 3 10
                     31000	RD  3 3 8
                     32000	PRE 0 0
                     32048	ACT 0 0 0
                     32096	RD  0 0 80
                     33000	PRE 1 0
                     33048	ACT 1 0 1
                     33096	RD  1 0 78
                     34000	PRE 2 0
                     34048	ACT 2 0 2
                     34096	RD  2 0 70
                     35000	PRE 3 0
                     35048	ACT 3 0 3
                     35096	RD  3 0 68
                     36000	PRE 0 1
                     36048	ACT 0 1 4
                     36096	RD  0 1 60
                     37000	PRE 1 1
                     37048	ACT 1 1 5
                     37096	RD  1 1 58
                     38000	PRE 2 1
                     38048	ACT 2 1 6
                     38096	RD  2 1 50
                     39000	PRE 3 1
                     39048	ACT 3 1 7
                     39096	RD  3 1 48
                     40000	PRE 0 2
                     40048	ACT 0 2 8
                     40096	RD  0 2 40
                     41000	PRE 1 2
                     41048	ACT 1 2 9
                     41096	RD  1 2 38
                     42000	PRE 2 2
                     42048	ACT 2 2 A
                     42096	RD  2 2 30
                     43000	PRE 3 2
                     43048	ACT 3 2 B
                     43096	RD  3 2 28
                     44000	PRE 0 3
                     44048	ACT 0 3 C
                     44096	RD  0 3 20
                     45000	PRE 1 3
                     45048	ACT 1 3 D
                     45096	RD  1 3 18
                     46000	PRE 2 3
                     46048	ACT 2 3 E
                     46096	RD  2 3 10
                     47000	PRE 3 3
                     47048	ACT 3 3 F
                     47096	RD  3 3 8
